sample_id,file_path,document_title,slot_type,owner,project,supplier,document_version
1,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Adaptive_Partitioning_Users_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 Adaptive Partitioning Users Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
2,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Addon_Interfaces_Library_Reference_20230501.pdf","QNX Neutrino RTOS 7.1 Addon Interfaces Library Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
3,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Boot_Optimization_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 Boot Optimization Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
4,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Building_Embedded_Systems_20230501.pdf","QNX Neutrino RTOS 7.1 Building Embedded Systems",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
5,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_C_Library_Reference_20230501.pdf","QNX Neutrino RTOS 7.1 C Library Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
6,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Customizing_a_BSP_20230501.pdf","QNX Neutrino RTOS 7.1 Customizing a BSP",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
7,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Devctl_and_Ioctl_Commands_20230501.pdf","QNX Neutrino RTOS 7.1 Devctl and Ioctl Commands",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
8,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Device_Publishers_Developers_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 Device Publishers Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
9,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Getting_Started_with_QNX_Neutrino_20230501.pdf","QNX Neutrino RTOS 7.1 Getting Started with QNX Neutrino",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
10,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Instant_Device_Activation_Users_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 Instant Device Activation Users Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
11,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_JSON_Library_Reference_20230501.pdf","QNX Neutrino RTOS 7.1 JSON Library Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
12,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_PCI_Server_Users_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 PCI Server Users Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
13,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_PiPS_Developers_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 PiPS Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
14,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Programmers_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 Programmers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
