sample_id,slot_type,file_path,document_title,document_version,owner,is_scanned,has_tables,has_multicolumn,confidentiality,status,notes
sample-001,高通平台/BSP/接口约束文档,待提供,待提供,待提供,待提供,待确认,待确认,待确认,待确认,待提供,待填写
sample-002,博世供应商接口/诊断/通信文档,待提供,待提供,待提供,待提供,待确认,待确认,待确认,待确认,待提供,待填写
sample-003,其他供应商平台/协议/工具链文档,待提供,待提供,待提供,待提供,待确认,待确认,待确认,待确认,待提供,待填写
sample-004,内部需求/SPEC 文档,待提供,待提供,待提供,待提供,待确认,待确认,待确认,待确认,待提供,待填写
sample-005,内部技术架构文档,待提供,待提供,待提供,待提供,待确认,待确认,待确认,待确认,待提供,待填写
sample-006,内部详细设计文档,待提供,待提供,待提供,待提供,待确认,待确认,待确认,待确认,待提供,待填写
sample-007,内部接口控制/配置说明,待提供,待提供,待提供,待提供,待确认,待确认,待确认,待确认,待提供,待填写
sample-008,内部测试设计/测试报告,待提供,待提供,待提供,待提供,待确认,待确认,待确认,待确认,待提供,待填写
sample-009,问题复盘/缺陷分析文档,待提供,待提供,待提供,待提供,待确认,待确认,待确认,待确认,待提供,待填写
sample-010,扫描件/多栏/表格密集文档,待提供,待提供,待提供,待提供,待确认,待确认,待确认,待确认,待提供,待填写
